leg,ord,nom,id,birth,gen,part,ref
62,1,JOSE PILAR MORENO MONTOYA,ags01p,1959,M,pri,
62,3,MARIA TERESA JIMENEZ ESQUIVEL,ags02p,1984,F,pan,
62,5,JOSE ANGEL GONZALEZ SERNA,ags03p,1959,M,pan,
62,7,BENJAMIN CASTILLO VALDEZ,bc01p,1959,M,pri,
62,9,MARIA FERNANDA SCHROEDER VERDUGO,bc02p,1958,F,pri,
62,11,GILBERTO ANTONIO HIRATA CHICO,bc03p,1952,M,pri,
62,13,MARIA ELIA CABAÑAS APARICIO,bc04p,1964,F,pri,
62,14,VIRGINIA VICTORIA MARTINEZ GUTIERREZ,bc04s,1972,F,pri,
62,15,JUAN MANUEL GASTELUM BUENROSTRO,bc05p,1954,M,pan,
62,17,JAIME CHRIS LOPEZ ALVARADO,bc06p,1979,M,pri,
62,19,DAVID PEREZ TEJADA PADILLA,bc07p,1979,M,pvem,
62,21,MAYRA KARINA ROBLES AGUIRRE,bc08p,1972,F,pri,
62,23,FRANCISCO PELAYO COVARRUBIAS,bcs01p,1969,M,pan,
62,25,ARTURO DE LA ROSA ESCALANTE,bcs02p,1971,M,pan,
62,27,LANDY MARGARITA BERZUNZA NOVELO,cam01p,1965,F,pri,
62,29,ROCIO ADRIANA ABREU ARTIÑANO,cam02p,1974,F,pri,
62,31,IRMA ELIZONDO RAMIREZ,coa01p,1945,F,pri,
62,33,JOSE LUIS FLORES MENDEZ,coa02p,1956,M,pri,
62,35,MARIO ALBERTO DAVILA DELGADO,coa03p,1959,M,pan,
62,37,FERNANDO DONATO DE LAS FUENTES HERNANDEZ,coa04p,1950,M,pri,
62,38,ALFIO VEGA DE LA PEÑA,coa04s,1955,M,pri,
62,39,SALOMON JUAN MARCOS ISSA,coa05p,1948,M,pri,
62,41,MARCELO DE JESUS TORRES COFIÑO,coa06p,1956,M,pan,
62,43,ESTHER QUINTANA SALINAS,coa07p,1951,F,pan,
62,45,MIGUEL ANGEL AGUAYO LOPEZ,col01p,1951,M,pri,
62,47,FRANCISCO ALBERTO ZEPEDA GONZALEZ,col02p,1969,M,pri,
62,49,LOURDES ADRIANA LOPEZ MORENO,cps01p,1978,F,pvem,
62,51,PEDRO GOMEZ GOMEZ,cps02p,1970,M,pri,
62,53,AMILCAR AUGUSTO VILLAFUERTE TRUJILLO,cps03p,1964,M,pvem,
62,55,HARVEY GUTIERREZ ALVAREZ,cps04p,1951,M,pri,
62,57,LUIS GOMEZ GOMEZ,cps05p,1980,M,pri,
62,59,WILLY OCHOA GALLEGOS,cps06p,1978,M,pri,
62,61,FRANCISCO GRAJALES PALACIOS,cps07p,1956,M,pri,
62,63,OSCAR EDUARDO RAMIREZ AGUILAR,cps08p,1977,M,pvem,
62,65,MARIA DEL ROSARIO DE FATIMA PARIENTE GAVITO,cps09p,1955,F,pvem,
62,67,HECTOR NARCIA ALVAREZ,cps10p,1957,M,pvem,
62,69,HUGO MAURICIO PEREZ ANZUETO,cps11p,1969,M,pri,
62,71,ANTONIO DE JESUS DIAZ ATHIE,cps12p,1958,M,pri,
62,73,ADRIANA FUENTES TELLEZ,cua01p,1964,F,pri,
62,75,JOSE IGNACIO DUARTE MURILLO,cua02p,1965,M,pri,
62,77,CARLOS FERNANDO ANGULO PARRA,cua03p,1950,M,pan,
62,79,LUIS ALFREDO MURGUIA LARDIZABAL,cua04p,1956,M,pri,
62,81,ABRAHAM MONTES ALVARADO,cua05p,1961,M,pri,
