ord,n,pila,patmat,id,birth,gen,postulo,part,edo,dsmd,dsup,cabecera,yrin1,moin1,dyin1,yrout1,moout1,dyout1,yrin2,moin2,dyin2,yrout2,moout2,dyout2,yrin3,moin3,dyin3,nota,fuente
1,1,OSCAR,GONZALEZ RODRIGUEZ,ags01p,1951,M,,PRI,ags,1,0,,,,,,,,,,,,,,,,,,
2,501,ISIDORO,ARMENDARIZ GARCIA,ags01s,,,,PRI,ags,1,1,,,,,,,,,,,,,,,,,,
3,2,BENJAMIN,GALLEGOS SOTO,ags02p,1960,M,,PAN,ags,1,0,,,,,,,,,,,,,,,,,,
4,502,GERARDO,GUARDADO ENRIQUEZ,ags02s,,,,PAN,ags,1,1,,,,,,,,,,,,,,,,,,
5,3,FERNANDO,GOMEZ ESPARZA,ags03p,1953,M,,PRI,ags,1,0,,,,,,,,,,,,,,,,,,
6,503,JOSE GUADALUPE,ORTEGA VALDIVIA,ags03s,,,,PRI,ags,1,1,,,,,,,,,,,,,,,,,,
7,4,ROBERTO,PEREZ DE ALBA BLANCO,bc01p,,M,,PRI,bc,1,0,,,,,,,,,,,,,,,,,,
8,504,SERGIO,AVITIA NALDA,bc01s,,,,PRI,bc,1,1,,,,,,,,,,,,,,,,,,
9,5,JOSE RICARDO,FERNANDEZ CANDIA,bc02p,1949,M,,PAN,bc,1,0,,,,,,,,,,,,,,,,,,
10,505,LUZ ARGELIA,PANIAGUA FIGUEROA,bc02s,,,,PAN,bc,1,1,,,,,,,,,,,,,,,,,,
11,6,FRANCISCO,VERA GONZALEZ,bc03p,1957,M,,PAN,bc,1,0,,,,,,,,,,,,,,,,,,
12,506,JORGE ROBERTO,HERNANDEZ SILVA,bc03s,,,,PAN,bc,1,1,,,,,,,,,,,,,,,,,,
13,7,JORGE TOMAS,ESPARZA CARLO,bc04p,1944,M,,PAN,bc,1,0,,,,,,,,,,,,,,,,,,
14,507,VICTOR,LAGUNAS RUIZ,bc04s,,,,PAN,bc,1,1,,,,,,,,,,,,,,,,,,
15,8,FRANCISCO JAVIER,REYNOSO NUÑO,bc05p,1950,M,,PAN,bc,1,0,,,,,,,,,,,,,,,,,,
