leg,ord,n,pila,patmat,id,birth,gen,postulo,part,edo,dsmd,dsup,cabecera,yrin1,moin1,dyin1,yrout1,moout1,dyout1,yrin2,moin2,dyin2,yrout2,moout2,dyout2,yrin3,moin3,dyin3,lider,prescom,nota,fuente,repite,doath
58,1,1,JOSE ROQUE,RODRIGUEZ LOPEZ,ags01p,1952,M,,pan,ags,1,0,,2000,9,1,,,,,,,,,,,,,,,NA,,,1
58,2,501,MARIA ESTHELA,GONZALEZ LOPEZ,ags01s,,F,,pan,ags,1,1,,,,,,,,,,,,,,,,,,,NA,,,
58,3,2,FERNANDO,HERRERA AVILA,ags02p,1968,M,,pan,ags,1,0,,,,,,,,,,,,,,,,,,,NA,,58-sen,
58,4,502,JUANA CECILIA,LOPEZ ORTIS,ags02s,,F,,pan,ags,1,1,,,,,,,,,,,,,,,,,,,NA,,,
58,5,3,JOSE LUIS,NOVALES ARELLANO,ags03p,1972,M,,pan,ags,1,0,,,,,,,,,,,,,,,,,,,NA,,,
58,6,503,MARIA DEL ROSARIO,ORTEGA ROJAS,ags03s,,F,,pan,ags,1,1,,,,,,,,,,,,,,,,,,,NA,,,
58,7,4,JUVENAL,VIDRIO RODRIGUEZ,bc01p,1953,M,,pan,bc,1,0,,,,,,,,,,,,,,,,,,,NA,,,
58,8,504,JOSE LUIS,MARIN BERUMEN,bc01s,,M,,pan,bc,1,1,,,,,,,,,,,,,,,,,,,NA,,,
58,9,5,ALFONSO,SANCHEZ RODRIGUEZ,bc02p,,,,pan,bc,1,0,,,,,,,,,,,,,,,,,,,NA,,,
58,10,505,MINVERVA MARIA DEL ROSARIO,ZAMBRANO SALGADO,bc02s,,,,pan,bc,1,1,,,,,,,,,,,,,,,,,,,NA,,,
58,11,6,HUGO ADRIEL,ZEPEDA BERRELLEZA,bc03p,,,,pan,bc,1,0,,,,,,,,,,,,,,,,,,,NA,,,
58,12,506,SILVIA,GUNTER TRUJILLO,bc03s,,,,pan,bc,1,1,,,,,,,,,,,,,,,,,,,NA,,,
58,13,7,JAVIER JULIAN,CASTAÑEDA POMPOSO,bc04p,1967,,,pan,bc,1,0,,,,,,,,,,,,,,,,,,,NA,,58-64,
58,14,507,MARIA GABRIELA,GARCIA ACEVES,bc04s,,,,pan,bc,1,1,,,,,,,,,,,,,,,,,,,NA,,,
58,15,8,JOSE FRANCISCO,BLAKE MORA,bc05p,1966,M,,pan,bc,1,0,,,,,,,,,,,,,,,,,,,NA,,,
58,16,508,MARIA DE LOS ANGELES,OCHOA VIRGEN,bc05s,,F,,pan,bc,1,1,,,,,,,,,,,,,,,,,,,NA,,,
58,17,9,CESAR ALEJANDRO,MONRAZ SUSTAITA,bc06p,,,,pan,bc,1,0,,,,,,,,,,,,,,,,,,,NA,,,
58,18,509,MARTHA PATRICIA,MARTINEZ GUZMAN,bc06s,,,,pan,bc,1,1,,,,,,,,,,,,,,,,,,,NA,,,
58,19,10,MIGUEL,VEGA PEREZ,bcs01p,,,,pri,bcs,1,0,,,,,,,,,,,,,,,,,,,NA,,,
58,20,510,ONORIA,CASTILLO ALVAREZ,bcs01s,,,,pri,bcs,1,1,,,,,,,,,,,,,,,,,,,NA,,,
