ord,n,pila,patmat,id,part,edo,edon,dsmd,dis,tipo,yrin1,moin1,dyin1,yrout1,moout1,dyout1,yrin2,moin2,dyin2,yrout2,moout2,dyout2,notas
1,1,ARTURO,ROBLES AGUILAR ,ags01p,pri ,ags,1,1,1,prop,2003,8,29,,,,,,,,,,
2,501,LAURA PATRICIA,ROMO CASTORENA,ags01s,pri ,ags,1,1,1,sup,,,,,,,,,,,,,
3,2,FRANCISCO JAVIER,VALDES DE ANDA,ags02p,pan,ags,1,1,2,prop,2003,8,29,,,,,,,,,,
4,502,HECTOR EDUARDO,ANAYA PEREZ,ags02s,pan,ags,1,1,2,sup,,,,,,,,,,,,,
5,3,JAIME DEL,CONDE UGARTE ,ags03p,pan,ags,1,1,3,prop,2003,8,29,,,,,,,,,,
6,503,SANJUANA ADRIANA,ESTRADA GONZALEZ,ags03s,pan,ags,1,1,3,sup,,,,,,,,,,,,,
7,4,HIDALGO,CONTRERAS COVARRUBIAS ,bc01p,pan,bc,2,1,1,prop,2003,8,29,,,,,,,,,,
8,504,JAVIER,MAYORAL MURILLO,bc01s,pan,bc,2,1,1,sup,,,,,,,,,,,,,
9,5,NORBERTO,CORELLA TORRES ,bc02p,pan,bc,2,1,2,prop,2003,8,29,,,,,,,,,,
10,505,IRENE,MANRIQUEZ MINORI,bc02s,pan,bc,2,1,2,sup,,,,,,,,,,,,,
11,6,PABLO ALEJO,LOPEZ NUÑEZ ,bc03p,pan,bc,2,1,3,prop,2003,8,29,,,,,,,,,,
12,506,SILVANO,ABARCA MACKLIS,bc03s,pan,bc,2,1,3,sup,,,,,,,,,,,,,
13,7,RENATO,SANDOVAL FRANCO ,bc04p,pan,bc,2,1,4,prop,2003,8,29,,,,,,,,,,
14,507,JUAN FRANCISCO,RIOS GALVAN,bc04s,pan,bc,2,1,4,sup,,,,,,,,,,,,,
15,8,JOSE GUADALUPE,OSUNA MILLAN ,bc05p,pan,bc,2,1,5,prop,2003,8,29,,,,,,,,,,
16,508,ANTONIO,VALLADOLID RODRIGUEZ,bc05s,pan,bc,2,1,5,sup,,,,,,,,,,,,,
17,9,VICTOR MANUEL,GONZALEZ REYES ,bc06p,pan,bc,2,1,6,prop,2003,8,29,,,,,,,,,,
18,509,JOSE TEODORO,BARRAZA LOPEZ,bc06s,pan,bc,2,1,6,sup,,,,,,,,,,,,,
19,10,FRANCISCO JAVIER,OBREGON ESPINOZA ,bcs01p,prd ,bcs,3,1,1,prop,2003,8,29,,,,,,,,,,
20,510,BENJAMIN,GARCIA MEZA,bcs01s,prd ,bcs,3,1,1,sup,,,,,,,,,,,,,
21,11,NARCISO,AGUNDEZ MONTAÑO,bcs02p,prd ,bcs,3,1,2,prop,2003,8,29,,,,,,,,,,
22,511,JOSEFINA,COTA COTA,bcs02s,prd ,bcs,3,1,2,sup,2004,8,30,,,,,,,,,,
23,12,ENRIQUE ARIEL,ESCALANTE ARCEO ,cam01p,pri ,cam,4,1,1,prop,2003,8,29,,,,,,,,,,
24,512,SERGIO AGUSTIN,RAMIREZ GONZALEZ,cam01s,pri ,cam,4,1,1,sup,,,,,,,,,,,,,
25,13,SEBASTIAN,CALDERON CENTENO ,cam02p,pan,cam,4,1,2,prop,2003,8,29,,,,,,,,,,
26,513,RAMON,DIMAS HERNANDEZ,cam02s,pan,cam,4,1,2,sup,,,,,,,,,,,,,
27,14,JESUS MARIA,RAMON VALDES ,coa01p,pri ,coa,5,1,1,prop,2003,8,29,,,,,,,,,,
28,514,ERNESTO VELA,DEL CAMPO,coa01s,pri ,coa,5,1,1,sup,,,,,,,,,,,,,
29,15,JESUS,ZUÑIGA ROMERO ,coa02p,pri,coa,5,1,2,prop,2003,8,29,,,,,,,,,,"Salió del pri, quedó indep"
30,515,PATRICIA DEL CARMEN,QUISTIAN CONTRERAS,coa02s,pri,coa,5,1,2,sup,,,,,,,,,,,,,
31,16,RICARDO,RODRIGUEZ ROCHA ,coa03p,pri ,coa,5,1,3,prop,2003,8,29,,,,,,,,,,
32,516,SYLBETH,GARCIA BOONE,coa03s,pri ,coa,5,1,3,sup,,,,,,,,,,,,,
33,17,OSCAR,PIMENTEL GONZALEZ,coa04p,pri ,coa,5,1,4,prop,2003,8,29,,,,,,,,,,
34,517,NORMA,DAVILA SALINAS ,coa04s,pri ,coa,5,1,4,sup,2005,11,22,,,,,,,,,,
35,18,EDUARDO,OLMOS CASTRO ,coa05p,pri ,coa,5,1,5,prop,2003,8,29,,,,,,,,,,
36,518,RAUL,ONOFRE CONTRERAS,coa05s,pri ,coa,5,1,5,sup,2003,11,28,,,,,,,,,,
37,19,LAURA,REYES RETANA ,coa06p,pri,coa,5,1,6,prop,2003,8,29,,,,,,,,,,"Salió del pri, quedó indep"
38,519,CARLOS,JALIFE GARCIA,coa06s,pri,coa,5,1,6,sup,,,,,,,,,,,,,
39,20,FERNANDO DE LAS,FUENTES HERNANDEZ,coa07p,pri ,coa,5,1,7,prop,2003,8,29,,,,,,,,,,
40,520,ALDO MAURICIO,MARTINEZ HERNANDEZ ,coa07s,pri ,coa,5,1,7,sup,2005,8,30,,,,,,,,,,
41,21,ANTONIO MORALES DE,LA PEÑA ,col01p,pan,col,6,1,1,prop,2003,8,29,,,,,,,,,,
42,521,PATRICIA,LUGO BARRIGA,col01s,pan,col,6,1,1,sup,,,,,,,,,,,,,
43,22,ROGELIO HUMBERTO,RUEDA SANCHEZ ,col02p,pri ,col,6,1,2,prop,2003,8,29,2006,5,17,,,,,,,
44,522,ANAMIN ZENAIDA,SOLORZANO TORRES,col02s,pri ,col,6,1,2,sup,,,,,,,,,,,,,
45,23,JORGE BALDEMAR,UTRILLA ROBLES ,cps01p,pri ,cps,7,1,1,prop,2003,8,29,,,,,,,,,,
46,523,FRANCISCA,DAMAS DAMAS,cps01s,pri ,cps,7,1,1,sup,,,,,,,,,,,,,
47,24,MARIA ELENA,ORANTES LOPEZ ,cps02p,pri ,cps,7,1,2,prop,2003,8,29,,,,,,,,,,
48,524,RAMIRO,GOMEZ DOMINGUEZ,cps02s,pri ,cps,7,1,2,sup,,,,,,,,,,,,,
49,25,JUAN ANTONIO,GORDILLO REYES,cps03p,pri ,cps,7,1,3,prop,2003,8,29,,,,,,,,,,
50,525,ARMANDO,AGUILAR GORDILLO,cps03s,pri ,cps,7,1,3,sup,,,,,,,,,,,,,
51,26,JULIAN,NAZAR MORALES ,cps04p,pri ,cps,7,1,4,prop,2003,8,29,2006,5,10,,,,,,,
52,526,ARTURO,BURGUETE LEON,cps04s,pri ,cps,7,1,4,sup,,,,,,,,,,,,,
53,27,FLORENCIO,COLLAZO GOMEZ ,cps05p,pri ,cps,7,1,5,prop,2003,8,29,,,,,,,,,,
54,527,MARCO ANTONIO,SANTIAGO SANCHEZ,cps05s,pri ,cps,7,1,5,sup,,,,,,,,,,,,,
55,28,ROBERTO AQUILES,AGUILAR HERNANDEZ ,cps06p,pri ,cps,7,1,6,prop,2003,8,29,2006,3,16,,,,,,,
56,528,ERIKA LILIANA,GRAJALES PASCACIO,cps06s,pri ,cps,7,1,6,sup,,,,,,,,,,,,,
57,29,FRANCISCO,GRAJALES PALACIOS ,cps07p,pri ,cps,7,1,7,prop,2003,8,29,,,,,,,,,,
58,529,MARIA DEL ROCIO,HERRERA ORTIZ,cps07s,pri ,cps,7,1,7,sup,,,,,,,,,,,,,
59,30,MARIO,CULEBRO VELASCO ,cps08p,pri ,cps,7,1,8,prop,2003,8,29,,,,,,,,,,
60,530,MARCO ANTONIO,MORALES LIEVANO,cps08s,pri ,cps,7,1,8,sup,,,,,,,,,,,,,
61,31,FRANCISCO ANTONIO,ROJAS TOLEDO ,cps09p,pan,cps,7,1,9,prop,2003,8,29,,,,,,,,,,
62,531,JORGE ISAAC,SANCHEZ MALDA,cps09s,pan,cps,7,1,9,sup,,,,,,,,,,,,,
63,32,BELISARIO IRAM,HERRERA SOLIS ,cps10p,pri ,cps,7,1,10,prop,2003,8,29,,,,,,,,,,
64,532,RAFAEL,GONZALEZ CHAMLATI,cps10s,pri ,cps,7,1,10,sup,,,,,,,,,,,,,
65,33,CESAR,GONZALEZ ORANTES ,cps11p,pri ,cps,7,1,11,prop,2003,8,29,,,,,,,,,,
66,533,MARIA LILIA CONCEPCION,ARMENDARIZ CEA,cps11s,pri ,cps,7,1,11,sup,,,,,,,,,,,,,
67,34,CARLOS OSWALDO,PANO BECERRA ,cps12p,pri ,cps,7,1,12,prop,2003,8,29,,,,,,,,,,
68,534,NEFTALI ARMANDO DEL,TORO GUZMAN,cps12s,pri ,cps,7,1,12,sup,,,,,,,,,,,,,
69,35,JOSE MARIO,WONG PEREZ ,cua01p,pri ,cua,8,1,1,prop,2003,8,29,,,,,,,,,,
