ord,n,patmat,pila,birth,gen,id,part,edo,edon,dsmd,dis,tipo,yrin1,moin1,dyin1,yrout1,moout1,dyout1,yrin2,moin2,dyin2,yrout2,moout2,dyout2,nomregexp,notas
1,1,Armendáriz García,Pedro,1967,M,ags01p,pan,ags,1,1,1,prop,2006,8,29,0,0,0,0,0,0,0,0,0,Armendáriz García Pedro,0
3,2,Ruiz Velazco De Lira,Ernesto,1969,M,ags02p,pan,ags,1,1,2,prop,2006,8,29,0,0,0,0,0,0,0,0,0,Ru[ií]z Vela[sz]co [dD]e Lira Ernesto,0
5,3,Medina Macías,Alma Hilda,,F,ags03p,pan,ags,1,1,3,prop,2006,8,29,2008,4,10,0,0,0,0,0,0,Medina Mac[ií]as Alma Hilda,fch in out Alexis Cherem
7,4,Rueda Gómez,Francisco,,M,bc01p,pan,bc,2,1,1,prop,2006,8,29,0,0,0,0,0,0,0,0,0,Rueda Gómez Francisco,0
9,5,Manuell Gómez Angulo,Dolores de María,,F,bc02p,pan,bc,2,1,2,prop,2006,8,29,0,0,0,0,0,0,0,0,0,Manuell.+Gómez Angulo Dolores [dD]e María,0
11,6,Ramos Covarrubias,Héctor Manuel,,M,bc03p,pan,bc,2,1,3,prop,2006,8,29,0,0,0,0,0,0,0,0,0,Ramos Covarrubias Héctor Manuel,0
13,7,Franco Cázares,Ricardo,,M,bc04p,pan,bc,2,1,4,prop,2006,8,29,0,0,0,0,0,0,0,0,0,Franco C[áa]zare[sz] Ricardo,0
15,8,Valladolid Rodríguez,Antonio,,M,bc06p,pan,bc,2,1,5,prop,2006,8,29,0,0,0,0,0,0,0,0,0,Valladolid Rodríguez Antonio,0
17,9,Enríquez Martínez,Luis Rodolfo,,M,bc07p,pan,bc,2,1,6,prop,2006,8,29,2007,11,30,0,0,0,0,0,0,Enríquez Martínez Lu.s Rodolfo,fch in out Alexis Cherem
19,10,Paredes Rodríguez,Francisco Javier,,M,bc08p,pan,bc,2,1,7,prop,2006,8,29,0,0,0,0,0,0,0,0,0,Paredes Rodríguez Francisco Javier,0
21,11,Rincón Vargas,Mirna Cecilia,,F,bc09p,pan,bc,2,1,8,prop,2006,8,29,0,0,0,0,0,0,0,0,0,Rincón Vargas Mirna Cecilia,0
23,12,Orci Martínez,Juan Adolfo,,M,bcs01p,prd,bcs,3,1,1,prop,2006,8,29,0,0,0,0,0,0,0,0,0,Orc[íi] Martínez Juan Adolfo,0
25,13,Lizárraga Peraza,Víctor Manuel,,M,bcs02p,prd,bcs,3,1,2,prop,2006,8,29,0,0,0,0,0,0,0,0,0,Lizárraga Peraza Víctor Manuel,0
27,14,Méndez Lanz,Víctor Manuel,,M,cam01p,pri,cam,4,1,1,prop,2006,8,29,0,0,0,0,0,0,0,0,0,Méndez Lanz Víctor Manuel,0
29,15,Martínez Rocha,Arturo,,M,cam02p,pri,cam,4,1,2,prop,2006,8,29,0,0,0,0,0,0,0,0,0,Martínez Rocha Arturo,0
31,16,García Reyes,Angel Humberto,,M,coa01p,pan,coa,5,1,1,prop,2006,8,29,0,0,0,0,0,0,0,0,0,García Reyes Ángel Humberto,0
33,17,Guerrero,García Javier,,M,coa02p,pri,coa,5,1,2,prop,2006,8,29,0,0,0,0,0,0,0,0,0,Guerrero García Javier,0
35,18,Rivero Rivero,Rolando,,M,coa03p,pan,coa,5,1,3,prop,2006,8,29,0,0,0,0,0,0,0,0,0,Rivero Rivero Rolando,0
37,19,Abramo Masso,Yerico,,M,coa04p,pri,coa,5,1,4,prop,2006,8,29,0,0,0,0,0,0,0,0,0,Abramo Masso Yerico,0
39,20,Bracho González,Carlos Augusto,,M,coa05p,pan,coa,5,1,5,prop,2006,8,29,0,0,0,0,0,0,0,0,0,Bracho González Carlos Augusto,0
41,21,De León Tello,Jesús,,M,coa06p,pan,coa,5,1,6,prop,2006,8,29,0,0,0,0,0,0,0,0,0,[dD]e León Tello Jesús,0
43,22,Mohamar Dainitin,Oscar Miguel,,M,coa07p,pan,coa,5,1,7,prop,2006,8,29,0,0,0,0,0,0,0,0,0,Mohamar Dainitin Oscar Miguel,0
