ord,n,pila,patmat,id,gen,part,edo,edon,edoSIL,disn,dsmd,dsup,yrin1,moin1,dyin1,yrout1,moout1,dyout1,yrin2,moin2,dyin2,yrout2,moout2,dyout2,nomRegEx,nota,birth
31,16,Irma,Elizondo Ramírez,coa01p,F,pri,coa,5,coa,1,1,0,2012,8,29,2014,8,27,,,,,,,Irma Elizondo Ram[íi]rez,,1945
77,39,Carlos Fernando,Angulo Parra,cua03p,M,pan,cua,8,cua,3,1,0,2012,8,29,,,,,,,,,,Carlos Fernando Angulo Parra,,1950
85,43,Kamel,Athié Flores,cua07p,M,pri,cua,8,cua,7,1,0,2012,8,29,,,,,,,,,,Kamel Athi[eé] Flores,,1950
43,22,Esther,Quintana Salinas,coa07p,F,pan,coa,5,coa,7,1,0,2012,8,29,,,,,,,,,,Esther Quintana Salinas,,1951
11,6,Gilberto Antonio,Hirata Chico,bc03p,M,pri,bc,2,bc,3,1,0,2012,8,29,2013,2,28,,,,,,,Gilberto Antonio Hirata Chico,,1952
15,8,Juan Manuel,Gastélum Buenrostro,bc05p,M,pan,bc,2,bc,5,1,0,2012,8,29,,,,,,,,,,Juan Manuel Gast[ée]lum Buenrostro,,1954
61,31,Francisco,Grajales Palacios,cps07p,M,pri,cps,7,cps,7,1,0,2012,8,29,,,,,,,,,,Francisco Grajales Palacios,,1956
9,5,María Fernanda,Schroeder Verdugo,bc02p,F,pri,bc,2,bc,2,1,0,2012,8,29,,,,,,,,,,Mar[íi]a Fernanda Schroeder Verdugo,,1958
1,1,José Pilar,Moreno Montoya,ags01p,M,pri,ags,1,ags,1,1,0,2012,8,29,,,,,,,,,,^(?=.*[J.]*)(?=.*Pilar)(?=.*Moreno)(?=.*Montoya).*$,,1959
5,3,José Angel,González Serna,ags03p,M,pan,ags,1,ags,3,1,0,2012,8,29,,,,,,,,,,Jos[ée] [ÁA]ngel Gonz[áa]lez Serna,,1959
7,4,Benjamín,Castillo Valdez,bc01p,M,pri,bc,2,bc,1,1,0,2012,8,29,2013,3,12,,,,,,,Benjam[ií]n Castillo Valdez,,1959
81,41,Abraham,Montes Alvarado,cua05p,M,pri,cua,8,cua,5,1,0,2012,8,29,,,,,,,,,,Abraham Montes Alvarado,,1961
13,7,María Elia,Cabañas Aparicio,bc04p,F,pri,bc,2,bc,4,1,0,2012,8,29,2012,10,22,,,,,,,Mar[íi]a Elia Cabañas Aparicio,,1964
27,14,Landy Margarita,Berzunza Novelo,cam01p,F,pri,cam,4,cam,1,1,0,2012,8,29,,,,,,,,,,Landy Margarita Berzunza Novelo,,1965
247,124,Gabriel,Gómez Michel,jal18p,M,pri,jal,14,jal,18,1,0,2012,8,29,2014,9,22,,,,,,,Gabriel G[óo]mez Michel,"secuestrado 22sep2014, cuerpo no había sido identificado 23sep2014",1965
23,12,Francisco,Pelayo Covarrubias,bcs01p,M,pan,bcs,3,bcs,1,1,0,2012,8,29,2015,2,2,,,,,,,Francisco Pelayo Covarrubias,,1969
25,13,Arturo,De la Rosa Escalante,bcs02p,M,pan,bcs,3,bcs,2,1,0,2012,8,29,2015,2,2,,,,,,,Arturo De la Rosa Escalante,,1971
14,507,Virginia Victoria,Martínez Gutiérrez,bc04s,F,pri,bc,2,bc,4,1,1,2012,10,23,,,,,,,,,,Virginia Victoria Mart[íi]nez Guti[ée]rrez,,1972
21,11,Mayra Karina,Robles Aguirre,bc08p,F,pri,bc,2,bc,8,1,0,2012,8,29,,,,,,,,,,Mayra Karina Robles Aguirre,,1972
59,30,Willy,Ochoa Gallegos,cps06p,M,pri,cps,7,cps,6,1,0,2012,8,29,,,,,,,,,,Will.[ams]? [Oswaldo]? Ochoa [Gallegos]?,,1978
17,9,Jaime Chris,López Alvarado,bc06p,M,pri,bc,2,bc,6,1,0,2012,8,29,,,,,,,,,,Jaime Chris L[óo]pez Alvarado,,1979
19,10,David,Pérez Tejada Padilla,bc07p,M,pvem,bc,2,bc,7,1,0,2012,8,29,,,,,,,,,,David P[ée]rez Tejada Padilla,,1979
3,2,María Teresa,Jiménez Esquivel,ags02p,F,pan,ags,1,ags,2,1,0,2012,8,29,,,,,,,,,,Mar[íi]a Teresa Jim[ée]nez Esquivel,,1984
29,15,Rocío Adriana,Abreu Artiñano,cam02p,F,pri,cam,4,cam,2,1,0,2012,8,29,2015,3,9,,,,,,,Roc[íi]o Adriana Abreu Artiñano,,1974
33,17,José Luis,Flores Mendez,coa02p,M,pri,coa,5,coa,2,1,0,2012,8,29,,,,,,,,,,Jos[ée] Luis Flores M[ée]ndez,,1956
35,18,Mario Alberto,Dávila Delgado,coa03p,M,pan,coa,5,coa,3,1,0,2012,8,29,,,,,,,,,,Mario Alberto D[áa]vila Delgado,,1959
37,19,Fernando Donato,De las Fuentes Hernández,coa04p,M,pri,coa,5,coa,4,1,0,2012,8,29,2013,1,30,2013,7,16,,,,Fernando Donato De las Fuentes Hern[áa]ndez,,1950
39,20,Salomón,Juan Marcos Issa,coa05p,M,pri,coa,5,coa,5,1,0,2012,8,29,,,,,,,,,,Salom[óo]n Juan Marcos Issa,,1948
41,21,Marcelo de Jesús,Torres Cofiño,coa06p,M,pan,coa,5,coa,6,1,0,2012,8,29,,,,,,,,,,Marcelo de Jes[úu]s Torres Cofiño,,1956
45,23,Miguel Angel,Aguayo López,col01p,M,pri,col,6,col,1,1,0,2012,8,29,,,,,,,,,,Miguel [ÁA]ngel Aguayo L[óo]pez,,1951
47,24,Francisco Alberto,Zepeda González,col02p,M,pri,col,6,col,2,1,0,2012,8,29,2015,2,25,,,,,,,Francisco Alberto Zepeda Gonz[áa]lez,,1969
49,25,Lourdes Adriana,López Moreno,cps01p,F,pvem,cps,7,cps,1,1,0,2012,8,29,,,,,,,,,,Lourdes Adriana L[óo]pez Moreno,,
51,26,Pedro,Gómez Gómez,cps02p,M,pri,cps,7,cps,2,1,0,2012,8,29,,,,,,,,,,Pedro G[óo]mez G[óo]mez,,
53,27,Amílcar Augusto,Villafuerte Trujillo,cps03p,M,pvem,cps,7,cps,3,1,0,2012,8,29,,,,,,,,,,Am[íi]lcar Augusto Villafuerte Trujillo,,
55,28,Harvey,Gutiérrez Álvarez,cps04p,M,pri,cps,7,cps,4,1,0,2012,8,29,,,,,,,,,,Harvey Guti[ée]rrez [ÁA]lvarez,,
57,29,Luis,Gómez Gómez,cps05p,M,pri,cps,7,cps,5,1,0,2012,8,29,,,,,,,,,,Luis G[óo]mez G[óo]mez,,
63,32,Oscar Eduardo,Ramírez Aguilar,cps08p,M,pvem,cps,7,cps,8,1,0,2012,8,29,2013,7,15,,,,,,,Oscar Eduardo Ram[íi]rez Aguilar,,
65,33,María del Rosario de Fátima,Pariente Gavito,cps09p,F,pvem,cps,7,cps,9,1,0,2012,8,29,,,,,,,,,,Mar[íi]a del Rosario de F[áa]tima Pariente Gavito,,
67,34,Héctor,Narcía Álvarez,cps10p,M,pvem,cps,7,cps,10,1,0,2012,8,29,,,,,,,,,,H[ée]ctor Narc[íi]a [ÁA]lvarez,,
69,35,Hugo Mauricio,Pérez Anzueto,cps11p,M,pri,cps,7,cps,11,1,0,2012,8,29,,,,,,,,,,Hugo Mauricio P[ée]rez Anzueto,,
71,36,Antonio de Jesús,Díaz Athié,cps12p,M,pri,cps,7,cps,12,1,0,2012,8,29,,,,,,,,,,Antonio [dD]e Jes[úu]s D[íi]az Athi[ée],,
73,37,Adriana,Fuentes Téllez,cua01p,F,pri,cua,8,cua,1,1,0,2012,8,29,,,,,,,,,,Adriana Fuentes T[ée]llez,,
75,38,José Ignacio,Duarte Murillo,cua02p,M,pri,cua,8,cua,2,1,0,2012,8,29,,,,,,,,,,Jos[ée] Ignacio Duarte Murillo,,
