ord,n,pila,patmat,birth,gen,id,postulo,part,dprop,cabecera,edo,dsmd,yrin1,moin1,dyin1,yrout1,moout1,dyout1,yrin2,moin2,dyin2,yrout2,moout2,dyout2,lider,prescom,seccom,nota,fuente
1,1,FRANCISCO JAVIER,LUEVANO NUÑEZ,1980,M,ags01p,prd,pan,1,JESUS MARIA,ags,1,2018,8,29,,,,,,,,,,,,comunictransp,birth approx,sesión instalación cámara diputados
2,501,GUSTAVO,ARMENDARIZ VIRAMONTES,,M,ags01s,prd,0,0,JESUS MARIA,ags,1,,,,,,,,,,,,,,,,,sesión instalación cámara diputados
3,2,ELBA LORENA,TORRES DIAZ,,F,ags02p,pes,pes,1,AGUASCALIENTES,ags,1,2018,8,29,,,,,,,,,,,,,,sesión instalación cámara diputados
4,502,HAYDEE,HERNANDEZ MUÑOZ,,F,ags02s,pes,0,0,AGUASCALIENTES,ags,1,,,,,,,,,,,,,,,,,sesión instalación cámara diputados
5,3,MARTHA ELISA,GONZALEZ ESTRADA,,F,ags03p,pan,pan,1,AGUASCALIENTES,ags,1,2018,8,29,,,,,,,,,,,,,,sesión instalación cámara diputados
6,503,CLAUDIA PATRICIA,TORRES LOPEZ,,F,ags03s,pan,0,0,AGUASCALIENTES,ags,1,,,,,,,,,,,,,,,,,sesión instalación cámara diputados
7,4,JESUS SALVADOR,MINOR MORA,1950,M,bc01p,morena,morena,1,MEXICALI,bc,1,2018,8,29,,,,,,,,,,,,,birth approx,sesión instalación cámara diputados
8,504,JUAN,MELENDREZ ESPINOZA,,M,bc01s,morena,0,0,MEXICALI,bc,1,,,,,,,,,,,,,,,,,sesión instalación cámara diputados
9,5,MARINA DEL PILAR,AVILA OLMEDA,1985,F,bc02p,morena,morena,1,MEXICALI,bc,1,2018,8,29,,,,,,,,,,,,,,sesión instalación cámara diputados
10,505,MARTHA LIZETH,NORIEGA GALAZ,,F,bc02s,morena,0,0,MEXICALI,bc,1,,,,,,,,,,,,,,,,,sesión instalación cámara diputados
11,6,ARMANDO,REYES LEDESMA,1972,M,bc03p,pt,pt,1,ENSENADA,bc,1,2018,8,29,,,,,,,,,,,,,,sesión instalación cámara diputados
12,506,CHRISTIAN HIRAM,DUNN FITCH,,M,bc03s,pt,0,0,ENSENADA,bc,1,,,,,,,,,,,,,,,,,sesión instalación cámara diputados
13,7,SOCORRO IRMA,ANDAZOLA GOMEZ,,F,bc04p,morena,morena,1,TIJUANA,bc,1,2018,8,29,,,,,,,,,,,,,,sesión instalación cámara diputados
14,507,CARLOTA,LARA GUZMAN,,F,bc04s,morena,0,0,TIJUANA,bc,1,,,,,,,,,,,,,,,,,sesión instalación cámara diputados
15,8,MARIO ISMAEL,MORENO GIL,1948,M,bc05p,morena,morena,1,TIJUANA,bc,1,2018,8,29,,,,,,,,,,,,,,sesión instalación cámara diputados
16,508,LUIS JAVIER,ALGORRI FRANCO,,M,bc05s,morena,0,0,TIJUANA,bc,1,,,,,,,,,,,,,,,,,sesión instalación cámara diputados
17,9,JAVIER JULIAN,CASTAÑEDA POMPOSO,1967,M,bc06p,pes,pes,1,TIJUANA,bc,1,2018,8,29,,,,,,,,,,,,,,sesión instalación cámara diputados
18,509,ERWIN JORGE,AREIZAGA URIBE,,M,bc06s,pes,0,0,TIJUANA,bc,1,,,,,,,,,,,,,,,,,sesión instalación cámara diputados
